VariableName
RH
T

"WAST","RH","T"
2016-11-01 11:30:00,24.2,22.77
2016-11-01 11:40:00,23.8,22.57
2016-11-01 11:50:00,22.4,23.37
2016-11-01 12:00:00,19.5,23.31
2016-11-01 12:10:00,21.7,23.36
2016-11-01 12:20:00,20.4,24.67
2016-11-01 12:30:00,19.9,24.2
2016-11-01 12:40:00,20.5,25.31
2016-11-01 12:50:00,28.2,24.12
2016-11-01 13:00:00,30.2,23.46
2016-11-01 13:10:00,30.8,23.5
2016-11-01 13:20:00,29.9,23.32
2016-11-01 13:30:00,31.4,22.81
2016-11-01 13:40:00,32.9,23.15
2016-11-01 13:50:00,31,22.91
2016-11-01 14:00:00,33.6,22.63
2016-11-01 14:10:00,34.5,22.43
2016-11-01 14:20:00,35.5,22.58
2016-11-01 14:30:00,35.5,22.6
2016-11-01 14:40:00,36.9,22.31
2016-11-01 14:50:00,40.1,21.79
2016-11-01 15:00:00,40.9,21.48
2016-11-01 15:10:00,40.9,22.25
2016-11-01 15:20:00,40.9,21.98
2016-11-01 15:30:00,41,21.58
2016-11-01 15:40:00,42,21.46
2016-11-01 15:50:00,44.7,21.23
2016-11-01 16:00:00,44.3,21.61
2016-11-01 16:10:00,44.1,20.87
2016-11-01 16:20:00,44.6,20.6
2016-11-01 16:30:00,44.6,20.75
2016-11-01 16:40:00,45.4,20.95
2016-11-01 16:50:00,45.2,20.8
2016-11-01 17:00:00,45.3,20.87
2016-11-01 17:10:00,45.6,20.8
2016-11-01 17:20:00,46.3,20.9
2016-11-01 17:30:00,47.5,20.41
2016-11-01 17:40:00,50.7,19.94
2016-11-01 17:50:00,53.5,19.51
2016-11-01 18:00:00,55.7,19.24
2016-11-01 18:10:00,56.7,19.01
2016-11-01 18:20:00,56.7,18.91
2016-11-01 18:30:00,57.8,18.67
2016-11-01 18:40:00,54.4,18.65
2016-11-01 18:50:00,55.8,18.32
2016-11-01 19:00:00,58.4,17.97
2016-11-01 19:10:00,61.2,17.52
2016-11-01 19:20:00,64.8,17.2
2016-11-01 19:30:00,67,16.9
2016-11-01 19:40:00,68.5,16.68
2016-11-01 19:50:00,69.3,16.52
